,name_audio,transcription_original,transcription_whisper,WER%
10,0087001479-DCT-20230817-215215-54094fed-48ac-4822-8a75-3b289b0e6dbe.mp3,"Flash INFO trafic ligne B, les 21h52, le trafic est perturbé sur l'ensemble de la ligne. Cela fait suite à un incendie aux abords des voies en gare du Nord souterraine. Prévoyez des allongement de temps. Parcours des modifications de desserte. Voir aussi les suppressions surtout, restez bien attentif aux annonces sonores. Pour plus d'informations, n'hésitez pas à vous rendre sur l'Appli Île-de-France mobilités, les site transilien.com "," Flash info traffic ligne B, les 21h52 Le trafic est perturbé sur l'ensemble de la ligne Cela fait suite à un incendie aux abords des voies en gare du nord souterraine Prévoyez des allongements de temps de parcours, des modifications de dessertes, voire aussi des suppressions Surtout restez bien attentifs aux annonces sonores Pour plus d'informations, n'hésitez pas à vous rendre sur l'appli Ile France Mobilité, les sites transilien.com R",24
11,0087001479-DCT-20230817-202205-8671d291-bf7d-4422-ab65-dc37e8686086.mp3,"Flash Info trafic ligne B, Madame, Monsieur, Bonjour et bienvenue en gare. Il est 20h30, 20h22  l'heure pour moi de vous faire un point sur la circulation actuellement l'aéroport Roissy-Charles-de-Gaulle 2 n'ai pas desservir jusqu'à 01h00 estimée de 21 h en raison d'une procédure de affaires oubliées. Pour suivre en temps réel l'évolution de votre ligne, je vous invite à consulter les applications Île-de-France Mobilités site transilien.comratp.fr, SNCF connecter ou l'application de mobilités. Merci de votre attention."," La chanfotrafique ligne B, madame, monsieur, bonjour et bienvenue en gare et les 20h... 20h22, heure pour moi de vous faire un point sur la circulation action dans l'aéroport. Le char de Gaulde n'est pas desservi jusqu'à une heure estimée de 21h en raison d'une procédure d'affaires oubliée. Pour suivant en réel l'évolution de votre ligne, je vous invite à consulter les applications Ile de France Hôpilité, les sites transsien.com, radp.fr, SNCF connect, ou l'application de mobilité. Merci de votre attention.",35
12,0087001479-DCT-20230810-081529-468ca229-718b-4244-b0bb-bfc60a365a77.mp3,"Fash INFO trafic, ligne B, Madame Monsieur, Bonjour et bienvenue en gare il est 08h15, excusez-moi l'heure pour moi de vous faire un point sur la circulation. Actuellement, le trafic est fluide sur l'ensemble de la ligne mais je vous rappelle que le samedi 12, le dimanche 13, le lundi 14 août, le trafic est interrompu entre Paris gare du Nord et mitry Claye et également entre Paris Gare du Nord et Aulnay-sous-Bois en direction de l'aéroport Roissy-Charles-de-Gaulle 2, si vous le pouvez donc ce "," Voilà la charte d'infotrafic de ligne B, Mesdames, Messieurs, bonjour et bienvenue en gare D.",96
13,0087113001-Pupitres-20230909-125253-a78b8d8d-46cb-4a37-94f7-17951ec30628.mp3,"Mesdames, Messieurs, voie 26. Merci de patienter quelques instants devant les porte embarquement."," Mesdames et Messieurs, voie 26. Merci de patienter quelques instants devant les porte-embarquement.",7
14,0087271007-VOX@NET_GL1-20230824-120448-a571ecd7-6a78-4d19-b40f-4e97c4449c84.mp3,Faites attention s il vous plaît je reviens vers les voyageurs qui doivent emprunter initialement le TER à destination Damien les par prévu à 11h31 nous à la voie numéro 18 nous sommes contraints de supprimer ce TER Pour les voyageurs destination Damien Départ prévu initialement à 11h31 Nous sommes contraints de supprimer ce TER toujours en conséquence d un incident d alimentation électrique entre Creil et Clermont de l Oise," Bonne attention s'il vous plaît, je reviens vers les voyageurs. On va emprunter initialement le TER à destination Damien, départ prévu à 11h31. À la boîte numéro 18, nous sommes contraints de supprimer ce TER. Pour les voyageurs à destination Damien, départ prévu initialement à 11h31, nous sommes contraints de supprimer ce TER, toujours en conséquence d'un incident d'alimentation électrique entre Creil et Clermont-de-Loise.",14
15,0087271007-VOX@NET_GL1-20230824-171348-6a416b95-a9ce-4733-a152-843979a3b86c.mp3,Voie numéro 6 le TER pour Montberg prévu initialement 17h19 subi un retard probable de 10 Min au départ suite aux conditions météorologiques,.,100
16,0087271007-VOX@NET_GL1-20230829-185143-fc6d84ee-6ff3-4ba6-92f4-6b4026833733.mp3,"Votre TER entre en gare pour votre sécurité, éloignez vous de la bordure du quai. Merci."," Votre TER entre en gare. Pour votre sécurité, loignez-vous de la bordure du clé. Merci.",12
17,0087113001-Pupitres-20230909-142725-36cc71a1-a794-4779-acf6-978be4b6ba7b.mp3,"Mesdames, Messieurs, Bonjour votre attention s'il vous plaît. Une alerte orange Météo France canicule est en cours. la SNCF vous invite à vous hydrater régulièrement et à emporter de l'eau pour votre voyage. Merci également de rester attentif envers les autres voyageurs et n'hésitez pas à solliciter les agents gares en cas de difficulté."," Mesdames et Messieurs, bonjour. Votre attention, s'il vous plaît. Une alerte orange météo France canicule est en cours. La SNC vous invite à vous hydrater régulièrement et à emporter de l'eau pour votre voyage. Merci également de rester attentif envers les autres voyageurs et n'hésitez pas à solliciter les agents en gare en cas de difficulté.",7
18,0087271007-VOX@NET_GL1-20230824-155014-0319dd41-86c9-4ff7-a11c-213e4318aabf.mp3,Madame Monsieur suite à l arbre sur les bois et un défaut d alimentation électrique Le TER pour Amiens prévu à 16 4 et le TER pour Saint Just En chaussée privé à 16h07 seront affichés tardivement Je vous prie de rester à l écoute des annonces," Madame, Monsieur, suite à l'arbre sur les bois et un défaut d'alimentation électrique, le TUR pour Anghien prévue à 16h04 et le TUR pour Saint-Just-en-chaussée prévue à 16h07 seront affichés tardivement. Je vous prie de rester à l'écoute des annonces.",14
19,0087001479-DCT-20230815-173055-3b0525c8-f70b-4861-8004-59bad4c1368e.mp3,"Flash info trafic ligne B Madame, Monsieur, Bonjour et bienvenue en gare. Il est 17 h 31 l'heure pour moi de vous faire un point sur la circulation. Actuellement le trafic est fluide sur l'ensemble de la ligne mais je vous rappelle que jusqu'au 27 août Bagne n'est pas desservie jusqu au 20 août, le trafic est interrompu entre Fontaine Michalon, Massy Palaiseau et jusqu'au 25 août, le trafic est interrompu entre  Blois,Rennes et Robinson  pour suivre en temps réel l'évolution de votre ligne, je vous invite à consulter les applications Île-de-France mobilités des site Transilien"," Flash Info traffic line B madame, monsieur bonjour et bienvenue en gare il est 17h31 pour moi de vous faire un point sur la circulation actuellement le trafic est flite sur l'ensemble de la ligne mais je vous rappelle que jusqu'au 27 août Bannier n'est pas desservie jusqu'au vento le trafic est interrompu entre Fontaine-Michelon et Massé-Palaiso et jusqu'au 25 août le trafic est interrompu entre Bourg-Larène et Robenso poursuivre en temps réel l'évolution de votre ligne je vous invite à consulter les applications Ile de France Obilité",37
20,0087113407-PRE-20230905-095843-95e698b5-c098-4c1f-9709-af414cf30b23.mp3,Info trafic RER E Je vous informe que le trafic est perturbé Haussman Saint-Lazare Chelles gournay dans les 2 sens prévoyez des ralentissements ainsi que des suppressions de trains et modifications," Info traffic RER E, je vous informe que le trafic est perturbé sur l'axe Haussmann Saint-Lazare-Chelgournay dans les deux sens. Prévoyez des ralentissements ainsi que des suppressions de train et modifications",28
21,0087113001-Pupitres-20230909-223629-da7ab117-19b4-455d-abe2-eda1594219e6.mp3,"Voie 16  attention, la rame situées à l'arrière reste en gare voie 16 voie 16. Attention, la rame situe à l'arrière ne prend pas de voyageurs voie 16 voie 16. Attention, la rame situées à l'arrière reste en gare. Merci d'avancer vers l'avant du train."," Voix 16, attention la ram' située à l'arrière reste en gare. Voix 16, attention la ram' située à l'arrière ne prend pas de voyageurs. Voix 16, attention la ram' située à l'arrière reste en gare. Merci d'avancer vers l'avant du train.",26
22,0087271007-VOX@NET_GL1-20230829-184501-665ddb1b-fa35-4759-b2d3-006357540ceb.mp3,"Madame, Monsieur, j'informe les voyageurs du TER de France T10 à destination de Amiens pour un départ à 19h07. Votre train au départ de la voie 8 votre TER est en cours d'acheminement. Il va rentrer en gare dans quelques instants, vous pouvez déjà vous rendre sur la voie 8 tout en vous éloignant de la bordure du quai. Madame, Monsieur, j'informe les voyageurs du TER de France à destination de Beauvais pour un départ à 19h",...,100
23,0087001479-DCT-20230817-215521-0c0c6443-98bc-4c97-9132-78527acfab82.mp3,"Flash INFO trafic ligne B, les 21h55, le trafic est perturbé sur l'ensemble de la ligne. Cela fait suite à un incendie aux abords des voir en gare souterraine à en gare du Nord. Prévoyez des allongement de temps de parcours, des modifications de desserte. Voir aussi les suppressions, restez donc bien attentif aux annonces sonores. Pour plus d'informations, n'hésitez pas à vous rendre sur l'Appli Île-de-France Mobilités,  et les sites transilien.com, ratp.fr, SNCF Connect ou encore votre rapide mobilités."," Flash infotrafique, ligne B des 21h55. Le trafic est perturbé sur l'ensemble de la ligne. Cela fait suite à un incendie aux abords des voies en gare souterraine à Angare du Nord. Prévoyez des allongements de temps de parcours, des modifications de dessertes, voire aussi des suppressions. Restez donc bien attentifs aux annonces sonores. Pour plus d'informations, n'hésitez pas à vous rendre sur l'appli de France Mobilité et les sites transsigna.com et rtp.fr. SNCF connecte encore votre appli de mobilité.",23
24,0087001479-PRE-20230825-190316-89b84730-1815-4a2b-ad6d-ca9ff8111394.mp3,Madame Monsieur je vous informe que la navette cdgval n est actuellement pas accessible en raison d une procédure d'affaire oublier Merci d emprunter le RER B," Madame, Monsieur, je vous informe que la navette CDG Valnet actuellement pas accessible en raison d'une procédure d'affaires oubliée. Merci d'emprunter le RER B. Ladies and gentlemen, your attention please, due to an unintended luggage, the free shuttle CDG Valnet is temporarily not served. Please take the line B.",107
25,0087001479-DCT-20230810-091549-f2b45264-951d-4f70-92bd-2c8eac8c7786,"Flash info trafic ligne B, Madame Monsieur, Bonjour et bienvenue en gare il est 09h15, L'heure pour moi de vous faire un point sur la circulation. Actuellement le trafic est fluide sur l'ensemble de la ligne et je vous rappelle que le samedi 12, le dimanche 13 et lundi 14 août, le trafic est interrompu entre Paris gare du Nord et mitry Claye et entre Paris Gare du Nord et Aulnay-sous-Bois en direction de l'aéroport Roissy-Charles-de-Gaulle. 2 donc si vous le pouvez ce week-end là, je vous invite à limiter votre déplacement pour suivre en temps réel l'évolution."," Chaque fois, il y a du trafic en ligne B, madame, monsieur, bonjour et bienvenue en gare.",96
26,0087001479-PRE-20230831-211548-f9b2cc11-0b17-476b-931f-3e1ccc723457.mp3,Flash INFO trafic Bonsoir à tous je vous informe que le trafic est interrompu entre le parc des Expositions et le terminal 2 de l aéroport et ce dans les 2 sens de circulation Cela fait suite à une procédure d'affaire oublier en gare du terminal 1 de l aéroport Leur de reprise est estimée à 21h50 Pour plus d informations rendez vous sur l appli Île de France Mobilités le site transilien comratp fr SNCF connecte ou votre appli de mobilités," Sachin Faut Trafic, bonsoir à tous. Je vous informe que le trafic est interrompu entre le parc des expositions et le terminal 2 de l'aéroport et ce dans les deux sens de circulation. Cela fait suite à une procédure d'affaires oubliée en gare du terminal 1 de l'aéroport. L'heure de reprise est estimée à 21h50. Pour plus d'informations, rendez-vous sur l'appli Ile-de-France Mobilité, le site transilien.com, ratp.fr, SNCF Connect ou votre appelé de mobilité.",16
27,0087113001-Pupitres-20230910-075116-432bf59d-7fa8-403d-93f5-77e1974799b8.mp3,"Message pour le service, message pour le service, ceci est un test de sonorisation."," Message pour le service, ce message pour le service, ceci est un test de sonorisation.",7
28,0087001479-PRE-20230901-062028-26a6e163-462e-4f03-8cb1-45a7e4b58859.mp3,Flash infotrafic la ligne B Bonjour à tous et bienvenue à tous ceux qui viennent de nous rejoindre Nous sommes le vendredi premier septembre nous allons faire un point sur la circulation et je vous informe que le trafic de Ligne B fortement perturbé Cela est dû à la prolongation des travaux de nuit en gare de Aulnay sous bois Prévoyez des allongement du temps Parcours des modifications de mission train voire des suppressions des missions de train Vous pouvez bien sûr avoir davantage d informations Consultant l application Île de France Mobilités et site transilien comratp fr SNCF Connect ,Flash Info Traffic Ligne B Bonjour à tous et bienvenue à tous ceux qui viennent de nous rejoindre Nous sommes le vendredi 1er septembre et nous allons faire un point sur la circulation et je vous informe que le trafic de ligne B est fortement perturbé Cela est dû à la prolongation des travaux de nuit en gare de lait sous bois Prévoyez des allongements du temps parcours des modifications de mission de train voire des suppressions de mission de train Vous pouvez bien sûr avoir davantage d'informations en consultant l'application Ile de France Mobilité et sur TransIrlandcom et rtp.fr,28
29,0087271007-VOX@NET_GL1-20230830-120755-12845608-5476-4823-929d-44ba67f9c935.mp3,"Madame, Monsieur le ou la propriétaire d'un vélo blanc. Laissé cela voie 18 est prié de récupérer son vélo de toute urgence. Le ou la propriétaire d'un vélo blanc et prié de récupérer son vélo de toute urgence face au voie 17 18."," Madame, Monsieur, le ou la propriétaire d'un vélo blanc laissé face aux bois 17-18 est prié de récupérer son vélo de toute urgence. Le ou la propriétaire d'un vélo blanc est prié de récupérer son vélo de toute urgence face aux bois 17-18.",15
30,0087271007-VOX@NET_GL1-20230824-154228-c188da3d-1977-4b49-aebd-b3144df2880a.mp3,Madame Monsieur suite à l arbre sur les voies et un défaut d alimentation électrique Le TER pour Amiens privé R 16 4 et le TGV 1 Juste ton chauffeur privé à 16h07 seront affichés tardivement Je vous prie de rester à l écoute des annonces," Madame, Monsieur, suite à l'arbre sur les bois et un défaut d'alimentation électrique, le TUR pour Amiens prévue à 16h04 et le TUR pour Saint-Just-en-chaussée prévue à 16h07 seront affichés tardivement. Je vous prie de rester à l'écoute des annonces.",28
31,0087271007-VOX@NET_GL1-20230824-171102-5fe3bfe6-39a6-4034-ae53-66b6078c0b85.mp3,Voie numéro 6 le TER situé à l accès aux quais ne prend pas de  voyageurs Vous êtes invité à prendre place dans le TER Situées en tête de quai le TER situé à l'accés au quais ne prend pas de voyageurs," Voie numéro 6, le TER situé à l'axe au quai ne prend pas de voyageurs. Vous êtes invités à prendre place dans le TER situé en tête de quai. Le TER situé à l'axe au quai ne prend pas de voyageurs.",16
32,0087271007-VOX@NET_GL1-20230824-130203-4e76f6bf-88dc-4481-9d76-00da7c7a6418.mp3,Mesdames Messieurs un défaut d alimentation électrique entre Creil Clermont De l Oise Compiègne Tergnier impact les circulations La circulation est donc interrompue sur l'axe Paris Amiens Compiègne et Terny ,...,100
33,0087001479-DCT-20230831-080245-5eaefcd2-3bbb-4c50-a075-a0fde90fb9d2.mp3,Madame Monsieur Bonjour 08h02 et je reviens vers vous pour de amples informations concernant le signal d alarme tiré en gare de la plaine stade de france je vous informe que c était un malaise voyageur Cet incident est actuellement terminée les trains vont pouvoir reprendre leur marche," Mesdames et Messieurs, bonjour. 8h02 et je reviens à vous pour d'amples informations concernant le signal d'alarme tiré en gare de la plaine de Nassau. Je vous informe que c'est un malaise aux voyageurs. Cet incident est actuellement terminé. Les trains vont pouvoir reprendre leur marche.",25
34,0087271007-VOX@NET_GL1-20230829-191100-0c6c81c8-be1d-46b6-b54a-3214b3cf03fd.mp3,"Madame, Monsieur, j'informe les voyageurs du TER de France K 16 à destination de Abbeville pour un départ à 19h31. Votre TER est actuellement en cours de préparation au centre de maintenance. Je reviens vers vous dès que possible pour vous annoncer sa voie de départ."," Voilà monsieur, j'informe les voyageurs du Tver au 2nd France K16 à destination d'Abbeville pour un départ à 19h31. Votre TER est actuellement en cours de préparation au centre de maintenance. Je reviens vers vous dès que possible pour vous annoncer sa voie de départ.",14
35,0087001479-DCT-20230829-073018-86ab5858-4613-4712-ad54-d109ac2f5f57.mp3,Flash info trafic ligne B. Bonjour à tous et bienvenue à tous ceux qui viennent de nous rejoindre Il est 07h30 et nous allons faire un nouveau point sur la circulation vous informe que le trafic de la ligne B est ralentie sur l ensemble de la ligne cela dû a des travaux rendu un petit peu plus tard que prévu en gare du Bourget Vous voyez quelque allongement du temps de parcours des modifications de mission de train et éventuellement des suppressions des missions de train Vous pouvez bien sûr faire le point en consultant l application Île de France mobilités les site transilien comratp fr SNCF Connect ou votre applis.," Flash en faute traffic ligne B. Bonjour à tous et bienvenue à tous ceux qui viennent de nous rejoindre. Il est 7h30 et nous allons faire un nouveau point sur la circulation. Nous vous informons que le trafic de la ligne B est ralenti sur l'ensemble de la ligne. Cela a dû à des travaux rendus un petit peu plus tard que prévu en gare du Bourget. Vous voyez quelques allongements du temps de parcours, des modifications de mission de train et éventuellement des suppressions de mission de train. Vous pouvez bien sûr faire le point en consultant l'application Ile de France Mobilité, les sites Transsire.com, rtp.fr, Sensef Connect ou votre application.",27
36,0087001479-DCT-20230831-135016-85bd6f2f-b7c5-4257-bb99-9bd61cf4f36a.mp3,"Madame Monsieur Bonjour bienvenue en gare je vous informe qu' actuellement on la station RER 1 de l aéroport Charles de Gaulle un n est pas desservie jusqu à 14h30 en raison de la découverte de affaires oubliées en ce même lieu Retrouvez toutes les informations liées à cet événement sur l Appli Île de France Mobilités sur les sites Transilien.com, ratp.fr, SNCF connect et sur votre appli de mobilités. Je vous remercie pour votre attention",...,100
37,0087113001-Pupitres-20230909-165742-ec39e269-3909-46dd-9529-146a79bf3e8e.mp3,"Mesdames, Messieurs votre attention s il vous plaît je m adresse aux voyageurs à destination de Meaux je vous informe que votre train partira de la voie 13 avec un retard de 10 Min environ Merci de votre attention"," Mesdames et Messieurs, votre attention, s'il vous plaît. Je m'adresse au voyageur à destination de Mont-Je vous informe que votre train partira de la voie 13 avec un retard de 10 minutes environ. Merci de votre attention.",12
38,0087271007-VOX@NET_GL1-20230824-160250-ec08f6b2-b770-4b17-bc24-c2bf217c46f5.mp3,"Madame Monsieur le TER prévu Initialement à 16h04  partira avec 45 Min de retard de la voie numéro 16 Il desservira Creil, Clermont de l Oise Saint Jules Longueau et Amiens Le TER prévu pour Saint jule à 16h07 partira de la voix 17 avec un retard probable de 45 Minutes et desservira horribles Chantilly Gouvieux Creil",.,100
39,0087271023-DCT-20230808-213236-7bec1727-8ade-4ccf-b457-2f82668605b3.mp3,"Voie 44, voie 44 le train actuellement à quai. Pars à destination de Melun je répète à la voie 44 votre train actuellement à quai pars à destination de Melun. Pour tous les voyageurs souhaitant se rendre en direction de corbeille esonnes votre prochain train ROVO Euh. viens de, quitter la gare de Stade de France."," Voir 44, voire 44, le train actuellement à quai par destination de Meulins. Je répète, voire 44, votre train actuellement à quai par destination de Meulins. Dans tous les voies, je vous souhaite un certain nombre de directions de Corbe et sonne votre prochain train VreuxVos. Je viens d'acquitter la gare de l'Etat de France.",53
40,0087271007-VOX@NET_GL1-20230910-213301-caa9dd1c-95f5-4629-925d-888b6ee65f64.mp3,"Voie numéro 11, voie numéro 11. Vos TGV vont pouvoir partir. Prenez garde à la fermeture automatique des portes, attention au départ voie 11, vos TGV sont prêts au départ. Veuillez ne pas gêner la fermeture automatique des portes. Attention au départ."," Voix numéro 11, voies numéro 11, voies TGV vont pouvoir partir. Prenez garde à la fermeture automatique des portes. Attention au départ. Voies 11, voies TGV sont prêts au départ. Veuillez ne pas gêner la fermeture automatique des portes. Attention au départ.",11
41,0087271023-DCT-20230808-104131-30530cf4-168c-4c8f-8066-210a93e9045a.mp3,"Voie 43, voie 43 actuellement à quai, un train semi-direct à destination de l'aéroport Charles-de-Gaulle. Je vous rappelle que ce train desservira uniquement les gares Aulnay-sois-bois, et l'aéroport Charles de Gaulle 1 et 2 son terminus Platform for Free. Femme par la station, tout les sous bois. Actuellement avec 43 un train semi-direct à destination de l'aéroport Charles-de-Gaulle, ce train desservira uniquement les gares d'Aulnay-sous-bois et l'aéroport Charles de Gaulle 1 et 2 son terminus."," Voix 43, voix 43, actuellement il y a un train semi direct à destination de l'aéroport Charles de Gaulle. Je vous rappelle que ce train desservira uniquement les gardes d'Aulnay-Soubois et l'aéroport Charles de Gaulle 1 et 2 sont terminus. Platform 43, this train will be non-stop from Paranaus station to Aulnay-Soubois and C.D.G. Airport 1 and 2. Actuellement, voix 43, un train semi direct à destination de l'aéroport Charles de Gaulle. Ce train desservira uniquement les gardes d'Aulnay-Soubois et l'aéroport Charles de Gaulle 1 et 2 sont terminus.",38
42,0087271023-DCT-20230808-101703-45dca364-d797-497f-bc89-9c8ab1e9daaa.mp3,"Actuellement accueil voie 43 actuellement à quai voie 43, un train FACA à destination de goussainville voie 43 actuellement à quai, un train faca à destination de goussainville pour les voyageurs patientant voie 41 et désirant prendre ce train, merci de vous diriger sur le même quai, voie d'en face. Le train actuellement à quai voie 41 ne va pas partir tout de suite. Je vous invite donc à emprunter le train à destination de goussainville, actuellement à quai voie 43."," Actuellement à quai voie 43, actuellement à quai voie 43, un train FAC à destination de Goussinville. Voie 43 actuellement à quai voie 43, un train FAC à destination de Goussinville. Pour les voyageurs et patientes en voie 41 et désirant prendre ce train, merci de vous diriger sur le même quai voie d'en face. Le train actuellement à quai voie 41 ne va pas partir tout de suite. Je vous invite donc à emprunter le train à destination de Goussinville. Actuellement à quai voie 43.",14
43,0087271007-VOX@NET_GL1-20230830-183904-3d30a7e2-0ef2-428b-8653-4609d8ef67ab.mp3,"Annonce pour les voyageurs empruntant le TER à destination de Amiens. Départ 19h07. Votre départ s'effectue depuis la voie numéro 8. Le départ du TER à destination d'Amiens prévu à 19h07 s'effectuera de la voie numéro 8. Votre TER est actuellement en cours d'acheminement vers la gare. Lors de son entrée en gare, merci de bien vous tenir éloignés de la bordure."," annonce pour les voyageurs en printemps le TER à destination Damien, départ privé à 19h07. Votre départ s'est fait-il depuis la voie numéro 8 ? Le départ du TER à destination Damien privé à 19h07 s'est fait-il sur la voie numéro 8 ? Votre TER est actuellement en cours d'acheminement vers la gare. Lors de son entrée en gare, merci de bien vous tenir éloignés de la bordure du",25
44,0087271007-VOX@NET_GL1-20230901-162657-738e02ec-869c-4f89-bef9-874993676fba.mp3,Mesdames Messieurs votre téléphone à destination de Calvi Le départ 16h31 est en place sur la voie 8 Il partira avec un retard estimé de 10 Min en raison de sa préparation tardive en gare Merci de votre attention," Mesdames et Monsieurs, votre TOR à destination de Calais-Ville, départ 16h31, est en place sur la voie 8. Il partira avec un retard estimé de 10 minutes, raison de sa préparation tardive en gare. Merci de votre attention.",17
45,0087271023-DCT-20230902-002214-05e1de1b-dfb9-43d4-9aaf-613f8e05dba4.mp3,"à la voie 42, à la voie 42, le train qui était en direction de Saint-Rémy-Lès-Chevreuse à la voie 42 à la voie 42. Ce train est en direction de Saint-Rémy-Lès-Chevreuse"," A la voie 42, le train qui est en direction de Saint Rémy-les-Chevreuses.",67
